k,copies,policy,episodes,selection_end,fill_rate_median,fill_rate_p10,offer_coverage_median,cashout_median,cashout_p10,cashout_es10,realized_median,net_payouts_median,ruin_rate,zero_seat_episode_rate,large_shock_episode_rate,worst_death_cluster,replacements_median,first_payout_days_median,initial_capital,cashout_roi_median,test_fill_rate,test_cashout,test_realized,test_net_payouts,test_ruined,test_worst_death_cluster,test_replacements
8,3,max_headroom,5,2023-01-01,0.98095983,0.98064201,0.99455677,5726.81000000,1728.79000000,374.65000000,3760.00000000,5760.00000000,0.00000000,0.00000000,0.00000000,2,2.00000000,307.66666667,2600.00000000,2.20261923,0.98211194,57757.61000000,30980.00000000,32580.00000000,False,0,0
8,3,protect_frozen,5,2023-01-01,0.98095983,0.97974585,0.99455677,7442.74500000,1150.59400000,-318.71000000,2860.00000000,6660.00000000,0.00000000,0.00000000,0.00000000,3,11.00000000,423.60416667,2600.00000000,2.86259423,0.98211194,56627.58500000,35000.00000000,37800.00000000,False,2,6
8,3,round_robin,5,2023-01-01,0.98095983,0.98062486,0.99455677,8341.41000000,5845.71200000,4493.92000000,5160.00000000,7560.00000000,0.00000000,0.00000000,0.00000000,1,7.00000000,217.79166667,2600.00000000,3.20823462,0.98211194,51505.02000000,31320.00000000,33120.00000000,False,1,1
8,3,stable_hash,5,2023-01-01,0.98095983,0.98067657,0.99455677,6071.70000000,1568.59100000,-212.27500000,3140.00000000,5760.00000000,0.00000000,0.00000000,0.00000000,1,4.00000000,301.77083333,2600.00000000,2.33526923,0.98211194,54872.55500000,32360.00000000,34560.00000000,False,1,3
8,4,least_trades,5,2023-01-01,0.95314930,0.95275870,0.95346432,15013.16500000,7134.84500000,4165.59500000,7160.00000000,11160.00000000,0.00000000,0.00000000,0.00000000,4,12.00000000,299.66666667,2600.00000000,5.77429423,0.95639786,74024.17500000,44040.00000000,46440.00000000,False,4,4
8,4,max_headroom,5,2023-01-01,0.95333506,0.95302012,0.95346432,8191.56000000,3303.56700000,625.94500000,4080.00000000,6480.00000000,0.00000000,0.00000000,0.00000000,4,4.00000000,372.93750000,2600.00000000,3.15060000,0.95643393,79405.22000000,43040.00000000,44640.00000000,False,0,0
8,4,protect_frozen,5,2023-01-01,0.95314930,0.95278419,0.95346432,11588.72000000,4115.99800000,73.40000000,6880.00000000,10080.00000000,0.00000000,0.00000000,0.00000000,4,8.00000000,329.97916667,2600.00000000,4.45720000,0.95643393,75033.20000000,44480.00000000,46080.00000000,False,0,0
8,4,round_robin,5,2023-01-01,0.95331247,0.95292446,0.95346432,12370.26000000,7083.81600000,6780.00000000,6600.00000000,9000.00000000,0.00000000,0.00000000,0.00000000,4,4.00000000,307.66666667,2600.00000000,4.75779231,0.95643393,75033.20000000,44480.00000000,46080.00000000,False,0,0
8,4,stable_hash,5,2023-01-01,0.95331247,0.94884036,0.95346432,10560.27500000,2400.09000000,0.15000000,6000.00000000,9000.00000000,0.00000000,0.00000000,0.00000000,1,7.00000000,208.66666667,2600.00000000,4.06164423,0.95643393,75033.20000000,43220.00000000,44820.00000000,False,0,0
10,1,least_trades,5,2023-01-01,1.00000000,1.00000000,1.00000000,-2220.00000000,-2340.00000000,-2420.00000000,-2220.00000000,180.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,479.72916667,3000.00000000,-0.74000000,1.00000000,6972.88000000,4360.00000000,7560.00000000,False,1,6
10,1,max_headroom,5,2023-01-01,1.00000000,1.00000000,1.00000000,1240.00000000,-200.00000000,-920.00000000,520.00000000,2520.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,379.72916667,3000.00000000,0.41333333,1.00000000,16997.87500000,8980.00000000,10980.00000000,False,0,0
