Time,Category,Message,
27.08.2026 16:30:00,Execution,Execution='1651322|2875279496|2875279496' Instrument='MNQ SEP26' Account='PA-APEX-240737-09' Exchange=Globex Price=29514.5 Quantity=1 Market position=Short Operation=Operation_Add Order='2875279496' Time='8.27.2026 4:30 PM',
27.08.2026 16:30:00,Order,Order='2875279496/PA-APEX-240737-09' Name='StopLimit_1' New state='Filled' Instrument='MNQ SEP26' Action='Sell' Limit price=29514.5 Stop price=29514.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29514.5 Error='No error' Native error='',
27.08.2026 16:30:00,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-09' Average price=29588.5 Quantity=1 Market position=Flat Operation=Remove,
27.08.2026 16:30:00,Order,Order='2875279496/PA-APEX-240737-09' Name='StopLimit_1' New state='Working' Instrument='MNQ SEP26' Action='Sell' Limit price=29514.5 Stop price=29514.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 16:00:00,Order,Order='2875317940/PA-APEX-240737-10' Name='Long1_2' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29581.5 Stop price=29581.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 16:00:00,Order,Order='69841c38a44f46bc9275b773e0a3109b/PA-APEX-240737-10' Name='Long1_2' New state='Submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29581.5 Stop price=29581.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 16:00:00,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203020' submitting order,
27.08.2026 15:12:49,Order,Order='2875279496/PA-APEX-240737-09' Name='StopLimit_1' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=29514.5 Stop price=29514.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 15:12:49,Order,Order='5985440aa89746dba3af5e05dabffe38/PA-APEX-240737-09' Name='StopLimit_1' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=29514.5 Stop price=29514.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 15:12:49,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203019' submitting order,
27.08.2026 15:12:49,Execution,Execution='1639952|2875252877|2875252877' Instrument='MNQ SEP26' Account='PA-APEX-240737-09' Exchange=Globex Price=29588.5 Quantity=1 Market position=Long Operation=Operation_Add Order='2875252877' Time='8.27.2026 3:12 PM',
27.08.2026 15:12:49,Order,Order='2875252877/PA-APEX-240737-09' Name='Long1_1' New state='Filled' Instrument='MNQ SEP26' Action='Buy' Limit price=29588.5 Stop price=29588.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29588.5 Error='No error' Native error='',
